ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2024-10-21T11:54:29.221230963Z,2024-10-21T11:54:29.221064336Z,10,2,38,C,B,1,233.62,2,130,166627,11405847,233.67,233.74,139,200,1,1,233.53,233.75,10,1,1,1,233.52,233.77,200,8,1,1,233.48,233.78,28,150,1,2,233.45,233.79,15,29,1,1,233.4,233.8,110,25,2,1,233.39,233.94,10,200,1,1,233.31,233.98,110,44,2,3,233.3,234.0,100,155,1,7,233.25,234.13,55,400,2,1,AAPL
2024-10-21T11:54:29.223936626Z,2024-10-21T11:54:29.223769812Z,10,2,38,A,B,0,233.67,2,130,166814,11405848,233.67,233.74,141,200,2,1,233.53,233.75,10,1,1,1,233.52,233.77,200,8,1,1,233.48,233.78,28,150,1,2,233.45,233.79,15,29,1,1,233.4,233.8,110,25,2,1,233.39,233.94,10,200,1,1,233.31,233.98,110,44,2,3,233.3,234.0,100,155,1,7,233.25,234.13,55,400,2,1,AAPL
2024-10-21T11:54:29.225196809Z,2024-10-21T11:54:29.225030400Z,10,2,38,A,B,0,233.67,3,130,166409,11405849,233.67,233.74,144,200,3,1,233.53,233.75,10,1,1,1,233.52,233.77,200,8,1,1,233.48,233.78,28,150,1,2,233.45,233.79,15,29,1,1,233.4,233.8,110,25,2,1,233.39,233.94,10,200,1,1,233.31,233.98,110,44,2,3,233.3,234.0,100,155,1,7,233.25,234.13,55,400,2,1,AAPL
2024-10-21T11:54:29.712600612Z,2024-10-21T11:54:29.712434212Z,10,2,38,A,B,2,233.52,200,130,166400,11406449,233.67,233.74,144,200,3,1,233.53,233.75,10,1,1,1,233.52,233.77,400,8,2,1,233.48,233.78,28,150,1,2,233.45,233.79,15,29,1,1,233.4,233.8,110,25,2,1,233.39,233.94,10,200,1,1,233.31,233.98,110,44,2,3,233.3,234.0,100,155,1,7,233.25,234.13,55,400,2,1,AAPL
2024-10-21T11:54:29.764839221Z,2024-10-21T11:54:29.764673165Z,10,2,38,C,B,2,233.52,200,130,166056,11406501,233.67,233.74,144,200,3,1,233.53,233.75,10,1,1,1,233.52,233.77,200,8,1,1,233.48,233.78,28,150,1,2,233.45,233.79,15,29,1,1,233.4,233.8,110,25,2,1,233.39,233.94,10,200,1,1,233.31,233.98,110,44,2,3,233.3,234.0,100,155,1,7,233.25,234.13,55,400,2,1,AAPL
2024-10-21T11:54:29.764851707Z,2024-10-21T11:54:29.764685027Z,10,2,38,A,B,1,233.54,400,130,166680,11406502,233.67,233.74,144,200,3,1,233.54,233.75,400,1,1,1,233.53,233.77,10,8,1,1,233.48,233.78,28,150,1,2,233.45,233.79,15,29,1,1,233.4,233.8,110,25,2,1,233.39,233.94,10,200,1,1,233.31,233.98,110,44,2,3,233.3,234.0,100,155,1,7,233.25,234.13,55,400,2,1,AAPL
2024-10-21T11:54:36.289594629Z,2024-10-21T11:54:36.289427977Z,10,2,38,A,A,6,233.9,200,130,166652,11409388,233.67,233.74,144,200,3,1,233.54,233.75,400,1,1,1,233.53,233.77,10,8,1,1,233.48,233.78,28,150,1,2,233.45,233.79,15,29,1,1,233.4,233.8,110,25,2,1,233.39,233.9,10,200,1,1,233.31,233.94,110,200,2,1,233.3,233.98,100,44,1,3,233.25,234.0,55,155,2,7,AAPL
2024-10-21T11:54:37.990960617Z,2024-10-21T11:54:37.990793976Z,10,2,38,A,A,0,233.73,200,130,166641,11410372,233.67,233.73,144,200,3,1,233.54,233.75,400,1,1,1,233.53,233.77,10,8,1,1,233.48,233.78,28,150,1,2,233.45,233.79,15,29,1,1,233.4,233.8,110,25,2,1,233.39,233.9,10,200,1,1,233.31,233.94,110,200,2,1,233.3,233.98,100,44,1,3,233.25,234.0,55,155,2,7,AAPL
2024-10-21T11:54:39.124458000Z,2024-10-21T11:54:39.124291588Z,10,2,38,C,A,0,233.73,200,130,166412,11410864,233.67,233.75,144,1,3,1,233.54,233.77,400,8,1,1,233.53,233.78,10,150,1,2,233.48,233.79,28,29,1,1,233.45,233.8,15,25,1,1,233.4,233.9,110,200,2,1,233.39,233.94,10,200,1,1,233.31,233.98,110,44,2,3,233.3,234.0,100,155,1,7,233.25,234.13,55,400,2,1,AAPL
2024-10-21T11:54:39.134307134Z,2024-10-21T11:54:39.134140341Z,10,2,38,A,A,0,233.74,200,130,166793,11410873,233.67,233.74,144,200,3,1,233.54,233.75,400,1,1,1,233.53,233.77,10,8,1,1,233.48,233.78,28,150,1,2,233.45,233.79,15,29,1,1,233.4,233.8,110,25,2,1,233.39,233.9,10,200,1,1,233.31,233.94,110,200,2,1,233.3,233.98,100,44,1,3,233.25,234.0,55,155,2,7,AAPL
